Point Name,Code,Original Latitude,Original Longitude,Original Altitude,Station Correction x,Station Correction y,Station Correction h,Latitude,Longitude,Altitude,Antenna Height,Northing,Easting,Elevation,Solution Status,Used satellites,Tracked satellites,PDOP,HRMS,VRMS,AGE,Local date,Local time,Base ID,Base Latitude,Base Longitude,Base Altitude,Base North,Base East,Base Height,Distance to Ref,Inclination correction,Inclined angle,Projected angle,Correction x,Correction y,Correction h,Target,Station.,Offset,Elevation diff.,Dist to start,Tower Name,Tower No.,Azimuth,Pitch Angle
Pt1,Muri,42°20'56.9450",21°10'32.4655",599.367,0.000,0.000,0.000,42°20'56.9450",21°10'32.4655",599.367,2.07,4689965.363,7514474.338,599.367,FIXED,30,33,0.99,0.004,0.006,1,2026-01-20,14:50:08,3699,42°20'57.1712",21°10'32.3178",598.473,4689972.333,7514470.944,598.473,8.3,0,0°00'00",0°00'00",0.00000000,0.00000000,0,,0,0,599.367,,,,334°02'47.9661",-6°24'21.2588"
Pt2,,42°20'56.5419",21°10'33.8469",598.853,0.000,0.000,0.000,42°20'56.5419",21°10'33.8469",598.853,2.07,4689952.990,7514505.978,598.853,FIXED,31,33,1,0.009,0.013,1,2026-01-20,14:52:19,3699,42°20'57.1712",21°10'32.3178",598.473,4689972.333,7514470.944,598.473,40.102,0,0°00'00",0°00'00",0.00000000,0.00000000,0,,0,0,598.854,,,,298°52'27.9199",-0°32'02.7891"
Pt3,,42°20'56.4899",21°10'33.9581",599.177,0.000,0.000,0.000,42°20'56.4899",21°10'33.9581",599.177,2.07,4689951.393,7514508.528,599.177,FIXED,30,32,1.01,0.006,0.009,1,2026-01-20,14:54:01,3699,42°20'57.1712",21°10'32.3178",598.473,4689972.333,7514470.944,598.473,43.121,0,0°00'00",0°00'00",0.00000000,0.00000000,0,,0,0,599.177,,,,299°07'28.7771",-0°56'14.2307"
Pt4,Puset,42°20'56.5633",21°10'34.0746",598.141,0.000,0.000,0.000,42°20'56.5633",21°10'34.0746",598.141,2.07,4689953.662,7514511.188,598.141,FIXED,30,32,1.01,0.005,0.007,1,2026-01-20,14:54:37,3699,42°20'57.1712",21°10'32.3178",598.473,4689972.333,7514470.944,598.473,44.407,0,0°00'00",0°00'00",0.00000000,0.00000000,0,,53.842,-0.585,598.141,,,,294°53'19.9631",0°26'03.919"
Pt5,Puset,42°20'56.5907",21°10'34.0374",598.737,0.000,0.000,0.000,42°20'56.5907",21°10'34.0374",598.737,2.07,4689954.506,7514510.335,598.737,FIXED,30,32,1.02,0.004,0.005,1,2026-01-20,14:54:51,3699,42°20'57.1712",21°10'32.3178",598.473,4689972.333,7514470.944,598.473,43.308,0,0°00'00",0°00'00",0.00000000,0.00000000,0,,53.742,0.611,598.737,,,,294°20'50.0302",-0°21'13.0515"
Pt6,,42°20'57.1086",21°10'37.7830",599.182,0.000,0.000,0.000,42°20'57.1086",21°10'37.7830",599.182,2.07,4689970.662,7514596.021,599.182,FIXED,30,32,1.02,0.006,0.007,1,2026-01-20,14:59:04,3699,42°20'57.1712",21°10'32.3178",598.473,4689972.333,7514470.944,598.473,125.143,0,0°00'00",0°00'00",0.00000000,0.00000000,0,,0,0,599.182,,,,270°45'47.9768",-0°19'22.386"
Pt7,,42°20'57.1564",21°10'37.8543",599.193,0.000,0.000,0.000,42°20'57.1564",21°10'37.8543",599.193,2.07,4689972.140,7514597.650,599.193,FIXED,30,31,1.02,0.005,0.005,1,2026-01-20,14:59:35,3699,42°20'57.1712",21°10'32.3178",598.473,4689972.333,7514470.944,598.473,126.761,0,0°00'00",0°00'00",0.00000000,0.00000000,0,,0,0,599.193,,,,270°05'14.7911",-0°19'32.1566"
Pt8,Megj,42°20'57.8933",21°10'35.5733",597.984,0.000,0.000,0.000,42°20'57.8933",21°10'35.5733",597.984,2.07,4689994.765,7514545.403,597.984,FIXED,31,33,0.99,0.004,0.005,1,2026-01-20,15:01:39,3699,42°20'57.1712",21°10'32.3178",598.473,4689972.333,7514470.944,598.473,77.795,0,0°00'00",0°00'00",0.00000000,0.00000000,0,,0,0,597.984,,,,253°13'22.9445",0°21'58.96"
Pt9,Puset,42°20'57.6246",21°10'35.1812",598.204,0.000,0.000,0.000,42°20'57.6246",21°10'35.1812",598.204,2.07,4689986.458,7514536.446,598.204,FIXED,30,32,1.05,0.006,0.007,1,2026-01-20,15:08:14,3699,42°20'57.1712",21°10'32.3178",598.473,4689972.333,7514470.944,598.473,67.045,0,0°00'00",0°00'00",0.00000000,0.00000000,0,,12.48,1.063,598.204,,,,257°49'59.5529",0°13'52.7145"
Pt10,,42°20'57.6485",21°10'35.1461",598.948,0.000,0.000,0.000,42°20'57.6485",21°10'35.1461",598.948,2.07,4689987.194,7514535.641,598.948,FIXED,31,33,1.05,0.005,0.006,1,2026-01-20,15:08:49,3699,42°20'57.1712",21°10'32.3178",598.473,4689972.333,7514470.944,598.473,66.444,0,0°00'00",0°00'00",0.00000000,0.00000000,0,,0,0,598.948,,,,257°03'48.586",-0°24'36.2091"
Pt11,,42°20'58.3670",21°10'34.2302",599.018,0.000,0.000,0.000,42°20'58.3670",21°10'34.2302",599.018,2.07,4690009.317,7514514.634,599.018,FIXED,30,32,1.05,0.005,0.007,1,2026-01-20,15:10:03,3699,42°20'57.1712",21°10'32.3178",598.473,4689972.333,7514470.944,598.473,57.313,0,0°00'00",0°00'00",0.00000000,0.00000000,0,,0,0,599.018,,,,229°45'59.8082",-0°33'07.9635"
Pt12,,42°20'58.8451",21°10'32.8854",599.344,0.000,0.000,0.000,42°20'58.8451",21°10'32.8854",599.344,2.07,4690024.003,7514483.827,599.344,FIXED,32,34,1.09,0.005,0.007,1,2026-01-20,15:11:49,3699,42°20'57.1712",21°10'32.3178",598.473,4689972.333,7514470.944,598.473,53.344,0,0°00'00",0°00'00",0.00000000,0.00000000,0,,0,0,599.344,,,,193°59'11.1868",-0°56'08.3573"
Pt13,Bunari,42°20'58.7956",21°10'33.0079",599.527,0.000,0.000,0.000,42°20'58.7956",21°10'33.0079",599.527,2.07,4690022.483,7514486.635,599.527,FIXED,29,31,1.09,0.005,0.007,1,2026-01-20,15:12:21,3699,42°20'57.1712",21°10'32.3178",598.473,4689972.333,7514470.944,598.473,52.65,0,0°00'00",0°00'00",0.00000000,0.00000000,0,,0,0,599.527,,,,197°22'18.2059",-1°09'35.145"
Pt14,,42°20'58.7695",21°10'33.0107",599.460,0.000,0.000,0.000,42°20'58.7695",21°10'33.0107",599.460,2.07,4690021.678,7514486.699,599.460,FIXED,29,31,1.09,0.006,0.008,1,2026-01-20,15:12:38,3699,42°20'57.1712",21°10'32.3178",598.473,4689972.333,7514470.944,598.473,51.899,0,0°00'00",0°00'00",0.00000000,0.00000000,0,,0,0,599.46,,,,197°42'24.8816",-1°05'28.3127"
Pt15,,42°20'58.7769",21°10'32.9745",599.258,0.000,0.000,0.000,42°20'58.7769",21°10'32.9745",599.258,2.07,4690021.906,7514485.870,599.258,FIXED,30,32,1.1,0.005,0.006,1,2026-01-20,15:12:45,3699,42°20'57.1712",21°10'32.3178",598.473,4689972.333,7514470.944,598.473,51.86,0,0°00'00",0°00'00",0.00000000,0.00000000,0,,0,0,599.258,,,,196°45'24.3359",-0°52'06.749"
